Line #,Name,Description,Designator,Revision ID,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
,C0603C104J4RACTU,CAP CER 0.1UF 16V X7R 0603,"C1, C2, C3, C4, C5, C6, C7, C9, C10, C14, C30, C39, C41",CMP-2006-03054-2,Up to date,13,KEMET,C0603C104J4RACTU,Volume Production,Digi-Key,399-C0603C104J4RAC7867CT-ND,0.088,1.14
,CC0805KKX5R6BB105,CAP CER 1UF 10V X5R 0805,"C8, C18, C19, C29, C38",CMP-03422-000746-1,Up to date,5,Yageo,CC0805KKX5R6BB105,Volume Production,Digi-Key,311-1573-1-ND,0.14,0.7
,0603YC103JAT2A,,C11,CMP-2006-02084-1,Up to date,1,Kyocera AVX,0603YC103JAT2A,Volume Production,Digi-Key,478-6208-1-ND,0.13,0.13
,CL10A106MQ8NNNC,Cap Ceramic 10uF 6.3V X5R �20% Pad SMD 0603 +85�C T/R,C12,CMP-13271-001938-1,Up to date,1,Samsung,CL10A106MQ8NNNC,Volume Production,Digi-Key,1276-1119-1-ND,0.11,0.11
,GRM21BR60J226ME39L,"Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 22uF, X5R, 15%, 20%, 6.3V","C13, C15",CMP-2007-03385-2,Up to date,2,Murata,GRM21BR60J226ME39L,Volume Production,Digi-Key,490-1719-1-ND,0.37,0.74
,EMK316B7475KL-T,None,"C16, C52",CMP-14477-002724-2,Up to date,2,Taiyo Yuden,EMK316B7475KL-T,Volume Production,Digi-Key,587-1331-1-ND,0.33,0.66
,08056D106KAT4A,,C17,CMP-2007-04644-1,Up to date,1,Kyocera AVX,08056D106KAT4A,Volume Production,Digi-Key,478-10692-1-ND,0.2,0.2
,CAP 3.3pF 50V 0603(1608),CAP 3.3pF 50V �5% 0603 (1608 Metric) Thickness 1mm SMD,C20,CMP-1035-00240-1,Up to date,1,Kyocera AVX,06035A3R3JAT2A,Volume Production,Digi-Key,478-06035A3R3JAT2ACT-ND,0.35,0.35
,C0603C470J4GAC7867,CAP CER 47PF 16V NP0 0603,C21,CMP-03020-020014-1,Up to date,1,KEMET,C0603C470J4GAC7867,Volume Production,Digi-Key,399-15404-1-ND,0.23,0.23
,CL10C390FB81PNC,Cap Ceramic 39pF 50V C0G �1pF Pad SMD 0603 +125�C T/R,C22,CMP-13271-002043-1,Up to date,1,Samsung,CL10C390FB81PNC,Volume Production,Digi-Key,1276-2280-1-ND,0.34,0.34
,0805YC473KAT2A,,C23,CMP-2007-04731-1,Up to date,1,Kyocera AVX,0805YC473KAT2A,Volume Production,Digi-Key,478-6221-1-ND,0.1,0.1
,06035A2R2JAT2A,,C24,CMP-1035-00160-2,Up to date,1,Kyocera AVX,06035A2R2JAT2A,Volume Production,Digi-Key,478-11815-1-ND,0.35,0.35
,06035A5R6JAT2A,,C25,CMP-2006-04345-1,Up to date,1,Kyocera AVX,06035A5R6JAT2A,Volume Production,Digi-Key,478-06035A5R6JAT2ACT-ND,0.1,0.1
,CBR06C369B5GAC,CBR0603 3.6 pF C0G 30ppm/�C 0.1 pF 50 V,"C26, C27, C33, C35",CMP-03020-011143-1,Up to date,4,KEMET,CBR06C369B5GAC,Volume Production,Digi-Key,399-16175-1-ND,0.26,1.04
,08055A100FAT2A,,"C28, C37, C54",CMP-1036-00853-2,Up to date,3,Kyocera AVX,08055A100FAT2A,Volume Production,Digi-Key,478-10493-1-ND,0.28,0.84
,C0805C560F5GACTU,CAP CER 56PF 50V 1% NP0 0805,"C31, C34, C36, C42, C43, C45",CMP-1036-01705-3,Up to date,6,Kyocera AVX,08055A560FAT2A,Volume Production,Digi-Key,478-10533-1-ND,0.54,3.24
,CGA3E3X7R1E474K080AB,Cap Ceramic 470nF 25V X7R 10% Pad SMD 0603 +125�C Automotive T/R,"C32, C40",CMP-08246-005070-1,Up to date,2,TDK,CGA3E3X7R1E474K080AB,Volume Production,Digi-Key,445-6929-1-ND,0.17,0.34
,CAP 1.5pF 50V 0603(1608),CAP 1.5pF 50V �0.1pF 0603 (1608 Metric) Thickness 1mm SMD,C44,CMP-1035-00097-1,Up to date,1,Vishay Vitramon,VJ0603A1R5BXACW1BC,Volume Production,Digi-Key,720-VJ0603A1R5BXACW1BCCT-ND,0.19,0.19
,06035A3R3BAT2A,,"C46, C47",CMP-2006-04310-1,Up to date,2,Kyocera AVX,06035A3R3BAT2A,Volume Production,Digi-Key,478-7919-1-ND,0.62,1.24
,06035A2R7BAT2A,,C48,CMP-2006-04586-1,Up to date,1,Kyocera AVX,06035A2R7BAT2A,Volume Production,Digi-Key,478-10309-1-ND,0.2,0.2
,C0805C101G5GACTU,CAP CER 100PF 50V 2% NP0 0805,"C49, C55",CMP-1036-01959-3,Up to date,2,Vishay Vitramon,VJ0805A101GXAPW1BC,Volume Production,Digi-Key,720-1700-1-ND,0.25,0.5
,0805YC103KAT2A,"General Purpose Ceramic Capacitor, 0805, 10nF, 10%, X7R, 0.15, 16V",C50,CMP-2007-04708-2,Up to date,1,Kyocera AVX,0805YC103KAT2A,Volume Production,Digi-Key,478-12793-1-ND,0.16,0.16
,0805YC102KAT2A,,C51,CMP-2007-04452-1,Up to date,1,Kyocera AVX,0805YC102KAT2A,Volume Production,Digi-Key,478-0805YC102KAT2ACT-ND,0.16,0.16
,C0603C129C5GACTU,CAP CER 1.2PF 50V NP0 0603,C53,CMP-2006-03631-2,Up to date,1,KEMET,C0603C129C5GACTU,Volume Production,Digi-Key,399-17397-1-ND,0.34,0.34
,BAT54XV2T1G,"Schottky Barrier Diode, 2-Pin SOD-523, Pb-Free, Tape and Reel",D1,CMP-1055-00488-1,Up to date,1,ON Semiconductor,BAT54XV2T1G,Volume Production,Digi-Key,BAT54XV2T1GOSCT-ND,0.26,0.26
,TVS0500DRVR,UNIDIR PRECISION SURGE DIODE,D2,CMP-04989-000008-1,Up to date,1,Texas Instruments,TVS0500DRVR,Unknown,Digi-Key,296-48382-1-ND,0.65,0.65
,SZESD7471N2T5G,TVS DIODE 5.3V 2XDFN,D3,CMP-07200-000004-1,Up to date,1,ON Semiconductor,SZESD7471N2T5G,Unknown,Digi-Key,SZESD7471N2T5GOSCT-ND,0.43,0.43
,BLM18BB100SH1D,"Chip Ferrite Bead, 0603, 10O @ 100MHz, 0.1O, 25%, 700mA","FB1, FB2, FB3",CMP-06046-002716-1,Up to date,3,Murata,BLM18BB100SH1D,Volume Production,Digi-Key,490-7812-1-ND,0.11,0.33
,B39871B4377P810,Filter,"FL1, FL2, FL3",,,3,Qualcomm,B39871B4377P810,Unknown,Digi-Key,B39871B4377P810CT-ND,1.29,3.87
,SX1303IMLTRT,Integrated Circuit,IC1,,,1,Semtech,SX1303IMLTRT,Unknown,Digi-Key,600-SX1303IMLTRTCT-ND,40.53,40.53
,MAX-M10S-00B,Integrated Circuit,IC3,,,1,u-blox,MAX-M10S-00B,Unknown,Digi-Key,672-MAX-M10S-00BCT-ND,21,21
,TPS62207DBVR,Integrated Circuit,IC4,,,1,Texas Instruments,TPS62207DBVR,Volume Production,Digi-Key,296-27027-1-ND,1.46,1.46
,SX1250IMLTRT,Integrated Circuit,"IC5, IC6",,,2,Semtech,SX1250IMLTRT,Unknown,Digi-Key,SX1250IMLTRTCT-ND,9.94,19.88
,M20-6102045,CONN STKTHRU PC/104 40POS PCB,J1,CMP-15831-000080-1,Up to date,1,Harwin,M20-6102045,Volume Production,Digi-Key,952-2219-ND,6.12,6.12
,SMA-J-P-H-ST-EM1,CONN SMA JACK STR 50OHM EDGE MNT,"J2, J3",CMP-02754-000006-1,Up to date,2,Samtec,SMA-J-P-H-ST-EM1,Volume Production,Digi-Key,SAM8857-ND,5.43,10.86
