Designator,Mid X,Mid Y,Layer,Rotation
C1,58.9280mm,54.3560mm,TopLayer,90
C2,60.9600mm,54.6100mm,TopLayer,90
C3,46.2280mm,47.4980mm,TopLayer,90
C4,52.8320mm,49.5300mm,TopLayer,180
C5,66.0400mm,50.0380mm,TopLayer,0
C6,67.0560mm,46.9900mm,TopLayer,0
C7,51.3080mm,43.6880mm,TopLayer,270
C8,53.5940mm,43.6880mm,TopLayer,270
C9,58.4200mm,42.4180mm,TopLayer,270
C10,60.7060mm,42.1640mm,TopLayer,270
C11,91.7460mm,14.4680mm,TopLayer,270
C12,13.4620mm,91.4400mm,TopLayer,180
C13,26.1620mm,91.1860mm,TopLayer,90
C14,24.6380mm,14.4780mm,TopLayer,270
C16,37.3380mm,8.8900mm,TopLayer,270
C17,59.6900mm,8.6360mm,TopLayer,0
C18,48.7680mm,25.9080mm,TopLayer,270
C19,40.6400mm,26.4160mm,TopLayer,270
C20,76.9620mm,59.6900mm,TopLayer,0
C21,81.1780mm,55.8940mm,TopLayer,0
C22,79.7560mm,63.2460mm,TopLayer,270
C23,83.6780mm,62.8940mm,TopLayer,270
C24,77.1780mm,54.8940mm,TopLayer,90
C25,86.3600mm,58.4200mm,TopLayer,270
C26,74.1780mm,59.2940mm,TopLayer,270
C27,80.8530mm,69.8940mm,TopLayer,180
C28,70.8660mm,62.2300mm,TopLayer,270
C29,35.8910mm,55.3720mm,TopLayer,180
C30,80.2640mm,67.3100mm,TopLayer,0
C31,72.1360mm,72.6440mm,TopLayer,90
C32,36.2739mm,48.3240mm,TopLayer,180
C33,77.1780mm,72.8940mm,TopLayer,90
C34,82.4760mm,26.9520mm,TopLayer,270
C35,36.2779mm,45.1020mm,TopLayer,180
C36,76.9760mm,27.8520mm,TopLayer,270
C37,90.9320mm,48.5140mm,TopLayer,270
C38,90.3180mm,33.7220mm,TopLayer,180
C39,84.8360mm,31.7500mm,TopLayer,0
C40,84.7760mm,39.2380mm,TopLayer,0
C41,78.4860mm,39.1160mm,TopLayer,90
C42,81.2800mm,87.8840mm,TopLayer,0
C43,89.6620mm,88.3920mm,TopLayer,0
C44,91.1860mm,62.2300mm,TopLayer,90
C45,76.2000mm,87.1220mm,TopLayer,270
C46,89.6740mm,81.7880mm,TopLayer,0
C47,86.3600mm,87.1220mm,TopLayer,270
C48,56.3880mm,88.1380mm,TopLayer,0
C49,72.6440mm,80.0100mm,TopLayer,90
C50,66.5480mm,80.2640mm,TopLayer,90
C51,76.2000mm,80.5180mm,TopLayer,90
C52,69.5960mm,80.0100mm,TopLayer,270
C53,53.3400mm,77.9780mm,TopLayer,180
C54,57.6580mm,81.2800mm,TopLayer,270
C55,50.6730mm,90.6780mm,TopLayer,180
D1,47.4980mm,51.3080mm,TopLayer,0
D3,92.7100mm,87.9950mm,TopLayer,270
D4,15.4940mm,13.2080mm,TopLayer,90
FL1,90.6780mm,58.4200mm,TopLayer,0
FL2,92.6770mm,72.3900mm,TopLayer,270
FL3,62.2380mm,84.3280mm,TopLayer,180
IC1,59.4360mm,48.5140mm,TopLayer,0
IC3,41.4020mm,7.8740mm,TopLayer,0
IC4,74.1280mm,68.1440mm,TopLayer,180
IC5,78.8744mm,33.9159mm,TopLayer,180
L1,89.2460mm,11.4680mm,TopLayer,270
L3,47.1971mm,7.7574mm,TopLayer,270
L4,76.8405mm,63.3940mm,TopLayer,180
L5,76.6780mm,57.8940mm,TopLayer,0
L6,83.5660mm,58.4200mm,TopLayer,90
L7,73.9434mm,61.9760mm,TopLayer,180
L8,74.6780mm,72.8940mm,TopLayer,180
L9,79.4760mm,28.4520mm,TopLayer,180
L10,80.9760mm,39.2380mm,TopLayer,180
L11,81.2800mm,84.3280mm,TopLayer,0
L12,88.9000mm,85.0900mm,TopLayer,90
L13,63.7540mm,80.0100mm,TopLayer,90
L14,60.4520mm,80.2640mm,TopLayer,180
L15,54.3560mm,80.2640mm,TopLayer,180
L16,57.1102mm,90.6550mm,TopLayer,0
LED1,57.8340mm,69.0440mm,TopLayer,270
LED2,53.0860mm,69.5960mm,TopLayer,270
LED3,48.1200mm,69.3020mm,TopLayer,270
LED4,35.0520mm,92.4560mm,TopLayer,0
LED5,61.9760mm,3.3020mm,TopLayer,0
LED6,52.8320mm,21.5900mm,TopLayer,270
R1,57.8358mm,64.8716mm,TopLayer,270
R2,44.1960mm,48.2600mm,TopLayer,270
R3,53.0606mm,64.9478mm,TopLayer,270
R4,48.1076mm,65.3542mm,TopLayer,270
R5,53.0000mm,56.4000mm,TopLayer,270
R6,45.9740mm,55.1180mm,TopLayer,90
R7,42.0370mm,52.9590mm,TopLayer,180
R8,89.2460mm,14.4680mm,TopLayer,90
R9,30.2260mm,92.4560mm,TopLayer,180
R12,59.9440mm,5.5880mm,TopLayer,180
R15,52.8320mm,25.6540mm,TopLayer,90
R16,40.1410mm,55.3720mm,TopLayer,180
R17,84.3530mm,69.8940mm,TopLayer,180
R18,40.2739mm,48.3240mm,TopLayer,180
R19,40.5279mm,45.1020mm,TopLayer,180
R20,93.9680mm,33.7220mm,TopLayer,180
U1,19.5580mm,95.2500mm,TopLayer,0
U3,44.8310mm,26.0350mm,TopLayer,0
U4,61.7093mm,88.6580mm,TopLayer,0
Y1,93.7260mm,51.8160mm,TopLayer,90
